date,unix_timestamp,timestamp,wifi,real,direction,kmh,lat,long
06/12/2017,1512587377,2017-12-06T19:09:37.000Z,3,1,0,21.114,-23.644841941,-46.700486605
06/12/2017,1512587378,2017-12-06T19:09:38.000Z,3,1,0,19.0548,-23.64479783,-46.700464276
06/12/2017,1512587379,2017-12-06T19:09:39.000Z,3,1,0,15.9984,-23.644761971,-46.700449453
06/12/2017,1512587380,2017-12-06T19:09:40.000Z,3,1,0,12.4128,-23.644734986,-46.700444939
06/12/2017,1512587381,2017-12-06T19:09:41.000Z,3,1,0,3.9168000000000003,-23.644741811,-46.70044555
06/12/2017,1512587382,2017-12-06T19:09:42.000Z,3,1,0,1.7316,-23.644738184,-46.700444824
06/12/2017,1512587383,2017-12-06T19:09:43.000Z,3,1,0,1.4831999999999999,-23.64473354,-46.700443558
06/12/2017,1512587384,2017-12-06T19:09:44.000Z,3,1,0,1.314,-23.644727993,-46.700443695
06/12/2017,1512587385,2017-12-06T19:09:45.000Z,3,1,0,0.3888,-23.64472561,-46.700443502
06/12/2017,1512587386,2017-12-06T19:09:46.000Z,3,1,0,0.20520000000000002,-23.644722792,-46.700444822
06/12/2017,1512587387,2017-12-06T19:09:47.000Z,3,1,0,0.8280000000000001,-23.644724049,-46.700442767
06/12/2017,1512587388,2017-12-06T19:09:48.000Z,3,1,0,0.342,-23.644718894,-46.700445791
06/12/2017,1512587389,2017-12-06T19:09:49.000Z,3,1,0,0.0756,-23.644715096,-46.700446725
06/12/2017,1512587390,2017-12-06T19:09:50.000Z,3,1,0,0.234,-23.644712266,-46.700445448
06/12/2017,1512587391,2017-12-06T19:09:51.000Z,3,1,0,0.24120000000000003,-23.644707921,-46.700446857
06/12/2017,1512587392,2017-12-06T19:09:52.000Z,3,1,0,0.0324,-23.644702892,-46.700449004
06/12/2017,1512587393,2017-12-06T19:09:53.000Z,3,1,0,0.0756,-23.644699104,-46.700451012
06/12/2017,1512587394,2017-12-06T19:09:54.000Z,3,1,0,0.1008,-23.644694232,-46.700453138
06/12/2017,1512587395,2017-12-06T19:09:55.000Z,3,1,0,0.11520000000000001,-23.644691697,-46.700455603
06/12/2017,1512587396,2017-12-06T19:09:56.000Z,3,1,0,0.028800000000000003,-23.64468836,-46.700457201
06/12/2017,1512587397,2017-12-06T19:09:57.000Z,3,1,0,0.1548,-23.644684329,-46.70046155
